Elapsed Time (s),IMU Heading (deg from N),Latitude (+/- = North/South),Longitude (+/- = East/West),GPS Heading (deg from N),Speed (m/s),Current Waypoint Number,Current Waypoint Latitude (+/- = North/South),Current Waypoint Longitude (+/- = East/West),Distance to Waypoint (m),Bearing to Waypoint (deg),Needed Course Correction (deg),"Turn Direction (-1 Left, 0 Straight, 1 Right)",Control Action from PID
2.207096815109253,175.17420192281622,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.87486839223948,1,100.0
2.3081889152526855,175.14888390469844,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.90018641035726,1,100.0
2.4095330238342285,175.19676377179371,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.85230654326199,1,100.0
2.510291814804077,175.10263728233997,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.94643303271573,1,100.0
2.6119019985198975,175.10263728233997,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.94643303271573,1,100.0
2.7121739387512207,175.70104427170736,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.34802604334834,1,100.0
2.8162949085235596,175.09574312779819,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.95332718725751,1,100.0
2.9597058296203613,175.67825176930387,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.37081854575183,1,100.0
3.0653347969055176,175.72135332384369,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,178.32771699121201,1,100.0
3.1654999256134033,176.60888235686821,29.73489761352539,-91.2060546875,nan,0.0,0,29.736170560000001,-91.206207500000005,142.35683485054275,354.0490703150557,177.44018795818749,1,100.0
3.267169952392578,176.33950070290393,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,177.4240242237679,1,100.0
3.3636410236358643,176.57664538939071,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,177.18687953728113,1,100.0
3.468634843826294,176.62477449351286,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,177.13875043315898,1,100.0
3.5703048706054688,176.92286522070799,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,176.84065970596384,1,100.0
3.6709859371185303,177.2058499303298,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,176.55767499634203,1,100.0
3.760180950164795,177.50270126494638,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,176.26082366172545,1,100.0
3.9195969104766846,178.06707544098742,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,175.69644948568441,1,100.0
4.024457931518555,178.34229027484548,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,175.42123465182635,1,100.0
4.124840021133423,179.22698501329239,29.734895706176758,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,142.64595780411727,353.76352492667183,174.53653991337944,1,100.0
4.225927829742432,179.25671295661527,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,174.53446052009218,1,100.0
4.32714581489563,179.82160167818256,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,173.9695717985249,1,100.0
4.428510904312134,180.35513458122807,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,173.43603889547938,1,100.0
4.528409957885742,180.1189324280669,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,173.67224104864056,1,100.0
4.629352807998657,180.95583673270161,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,172.83533674400584,1,100.0
4.781113862991333,182.3650277744093,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,171.42614570229816,1,100.0
4.882383823394775,182.93947340526378,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,170.85170007144367,1,100.0
4.985099792480469,184.0730104480522,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,169.71816302865525,1,100.0
5.081507921218872,184.37816678035375,29.73488998413086,-91.20604705810547,nan,0.0,0,29.736170560000001,-91.206207500000005,143.27867177476634,353.79117347670746,169.4130066963537,1,100.0
5.18443489074707,186.12291391778766,29.734882354736328,-91.20604705810547,135.21922084533975,0.16750765275356308,0,29.736170560000001,-91.206207500000005,144.12236019121431,353.82766057114105,167.7047466533534,1,100.0
