Elapsed Time (s),QUATERNION 0,QUATERNION 1,QUATERNION 2,QUATERNION 3,Linear Accel X (m/s),Linear Accel Y (m/s),Linear Accel Z (m/s),Magnometer X,Magnometer Y,Magnometer Z,Roll (deg),Pitch (deg),Yaw (deg),IMU Heading (deg from N),Latitude (+/- = North/South),Longitude (+/- = East/West),GPS Heading (deg from N),Speed (m/s)
2.207096815109253,-0.5124017952,-0.1613340558,-0.11457202089999999,0.8356405848999999,0.09191871,0.01208493,-0.99206289,-0.581970632,-0.049133336,0.11749276,-1.6259724,22.7745999,-117.2897388,175.17420192281622,29.73489761352539,-91.2060546875,nan,0.0
2.3081889152526855,-0.5122675179999999,-0.1619383032,-0.113799927,0.8357077234999999,0.09191871,0.01208493,-1.007993025,-0.578918872,-0.049133336,0.12054452,-1.5161094,22.785586199999997,-117.2897388,175.14888390469844,29.73489761352539,-91.2060546875,nan,0.0
2.4095330238342285,-0.5120996714999999,-0.16247541199999999,-0.11336352609999999,0.8357412928,0.09191871,0.01208493,-0.964047825,-0.584717216,-0.049133336,0.11749276,-1.4392052999999998,22.8075588,-117.2897388,175.19676377179371,29.73489761352539,-91.2060546875,nan,0.0
2.510291814804077,-0.511931825,-0.16304609009999999,-0.1129942638,0.8358084313999999,0.09997533,0.023986755000000002,-0.99206289,-0.573425704,-0.049133336,0.11749276,-1.3623011999999999,22.8405177,-117.3007251,175.10263728233997,29.73489761352539,-91.2060546875,nan,0.0
2.6119019985198975,-0.5118311171,-0.16358319889999998,-0.1125914322,0.8358420006999999,0.10400364000000001,0.043945200000000004,-0.99206289,-0.573425704,-0.049133336,0.12054452,-1.2853971,22.8734766,-117.3007251,175.10263728233997,29.73489761352539,-91.2060546875,nan,0.0
2.7121739387512207,-0.511596132,-0.16415387699999998,-0.11222216989999999,0.8359091392999999,0.11206026,0.023986755000000002,-1.007993025,-0.576477464,-0.043334991999999996,0.11749276,-1.2194793,22.906435499999997,-117.3117114,175.70104427170736,29.73489761352539,-91.2060546875,nan,0.0
2.8162949085235596,-0.5114282855,-0.1645567086,-0.1116850611,0.8359762779,0.123962085,-0.00805662,-1.012021335,-0.576172288,-0.049438512,0.127258392,-1.1425752,22.9174218,-117.32269769999999,175.09574312779819,29.73489761352539,-91.2060546875,nan,0.0
2.9597058296203613,-0.5109918846,-0.16613446569999998,-0.1101408733,0.8361441244,0.140075325,0.0,-1.02392316,-0.573425704,-0.043334991999999996,0.11749276,-0.8898902999999999,22.983339599999997,-117.32269769999999,175.67825176930387,29.73489761352539,-91.2060546875,nan,0.0
3.0653347969055176,-0.5103204986,-0.16717511399999999,-0.10873096269999999,0.8355734463,0.088073505,0.023986755000000002,-1.016049645,-0.5792240479999999,-0.043334991999999996,0.11749276,-0.7031232,23.0053122,-117.3007251,175.72135332384369,29.73489761352539,-91.2060546875,nan,0.0
3.1654999256134033,-0.5105554836999999,-0.1680143465,-0.1078917302,0.8363455402,0.119933775,0.023986755000000002,-1.003964715,-0.581970632,-0.034484888,0.123901456,-0.5603013,23.027284799999997,-117.3117114,176.60888235686821,29.73489761352539,-91.2060546875,nan,0.0
3.267169952392578,-0.5104547758,-0.169524965,-0.10775745299999999,0.8365805252999999,0.13201870500000001,0.0,-1.24401537,-0.581970632,-0.037231472,0.11749276,-0.47241089999999997,23.214051899999998,-117.3007251,176.33950070290393,29.734895706176758,-91.20604705810547,nan,0.0
3.3636410236358643,-0.5106561916,-0.1711027221,-0.1077910223,0.8356741541999999,0.283995855,0.067931955,-1.116024975,-0.576477464,-0.034484888,0.11749276,-0.34057529999999997,23.334901199999997,-117.21283469999999,176.57664538939071,29.734895706176758,-91.20604705810547,nan,0.0
3.468634843826294,-0.5117639785,-0.17274761779999998,-0.10809314599999999,0.8346335059,0.171935595,0.084045195,-1.04406471,-0.584717216,-0.034484888,0.123901456,-0.23071229999999998,23.510682,-117.01508129999999,176.62477449351286,29.734895706176758,-91.20604705810547,nan,0.0
3.5703048706054688,-0.5134424435,-0.17435894419999998,-0.10745532929999999,0.8333243032,0.028015065,0.084045195,-0.968076135,-0.584717216,-0.031433128,0.12054452,0.0,23.642517599999998,-116.71845119999999,176.92286522070799,29.734895706176758,-91.20604705810547,nan,0.0
3.6709859371185303,-0.5159265717,-0.17560100829999997,-0.1069853591,0.8315786996,0.16809039,0.071960265,-0.943906275,-0.587768976,-0.028686543999999998,0.123901456,0.20873969999999997,23.730407999999997,-116.3229444,177.2058499303298,29.734895706176758,-91.20604705810547,nan,0.0
3.760180950164795,-0.5189142393999999,-0.17687664169999998,-0.10654895819999999,0.8295309723,0.188048835,0.023986755000000002,-0.943906275,-0.587768976,-0.025634784,0.11749276,0.42846569999999995,23.8292847,-115.8505335,177.50270126494638,29.734895706176758,-91.20604705810547,nan,0.0
3.9195969104766846,-0.5241846195,-0.1788907997,-0.10587757219999999,0.8258383492999999,0.24792417,0.019958445000000002,-0.899961075,-0.587768976,-0.01983644,0.12054452,0.7910136,23.9830929,-115.02656099999999,178.06707544098742,29.734895706176758,-91.20604705810547,nan,0.0
4.024457931518555,-0.5277765346,-0.1798307401,-0.10564258709999999,0.8223471420999999,0.275939235,-0.028015065,-0.912046005,-0.5905155599999999,-0.017089856,0.123901456,0.988767,24.0270381,-114.40034189999999,178.34229027484548,29.734895706176758,-91.20604705810547,nan,0.0
