# Time,Latitude,Longitude,DistanceToTarget,CurrentBearing,DesiredBearing,CourseCorrection
#27310,,,,,, # Start
#3600138,,,,,, # First GPS
#3606146,,,,,, # Parachute Burn
5586211, 40.89024,-119.0659,5293.724,285.1976,242.3931,-42
5610526, 40.89025,-119.0661,5278.179,274.7262,242.2724,-32
5634608, 40.89017,-119.0663,5261.081,240.2145,242.1632,1
5657558, 40.89012,-119.0665,5243.016,251.1334,242.1714,-8
5680534, 40.89018,-119.0667,5228.797,289.298,242.1404,-47
5704596, 40.89025,-119.0669,5219.387,297.5417,241.9742,-55
5728606, 40.8901,-119.067,5205.26,202.1813,241.8217,39
5752577, 40.89015,-119.0669,5211.336,27.40119,241.9517,-146
5776550, 40.89014,-119.067,5206.57,247.5409,241.9069,-5
5799580, 40.8901,-119.067,5204.425,180.0,241.9015,61
5823612, 40.89004,-119.067,5202.229,170.7169,241.9421,71
5847602, 40.89005,-119.067,5201.092,309.5824,242.0163,-67
5871622, 40.89012,-119.067,5206.511,17.65637,241.986,-136
5895574, 40.89015,-119.067,5206.273,330.0592,241.9278,-88
