Time : Angle

########Good values###########
############################


Right
.1 : 5 , 15, 10, 5,
.2 : 25, 20, 20     18,26,19,17,12
.3 : 25, 16, 20, 15
.4 : 30, 35, 35 45,37,35,30
.5 : 40, 45
1 : 85
1.1 : 90


Left
.1 : 5, 5, 10
.2 : 12, 10, 10 17,8,17,19
.3 : 20, 15, 15
.4 : 22, 26, 15, 25   32,19,32
.5 : 45
1.1 : 90



############################
############################






Right
.1 : 5 , 15, 10, 5,
.2 : 25, 20, 20
.3 : 25, 16, 20, 15
.4 : 30, 35, 35

Left
.1 : 5, 5, 10 
.2 : 12, 10, 10 
.3 : 20, 15, 15
.4 : 22, 26, 15, 25   



.4 : 37

RIGHTS

0.2	-115.413422029	-96.5890381855	18.8243838431
0.4	130.982168883	85.6226503786	-45.3595185045
0.6	101.460294951	96.0733930541	-5.3869018965 ////
0.8	-143.347584338	-127.00784573	16.339738608 /////
1.0	174.996290385	-37.8061318297	-212.802422215/////

0.2	129.366473975	103.081324237	-26.2851497377 ///////
0.4	108.093125805	70.6668788512	-37.4262469533
0.6	82.4502665658	82.7466967758	0.296430209979
0.8	147.614116644	-132.689320025	-280.303436669
1.0	163.812702563	-79.1460737623	-242.958776325

0.2	-100.639203759	-81.6068269957	19.0323767638
0.4	-94.7261245799	-59.2565014276	35.4696231524
0.6	168.620568342	94.5564080394	-74.0641603028
0.8	109.124416067	41.0462028172	-68.0782132501
1.0	97.3060646143	176.935572336	79.6295077216

0.2	-91.8020318038	-74.3143979435	17.4876338603
0.4	-68.248520602	-37.6346633457	30.6138572563
0.6	-100.249725882	154.888595959	255.138321842
0.8	-166.084887934	-113.797692969	52.2871949645 (bad point)
1.0	-169.889303301	58.7459447871	228.635248088 (80)

0.2	-93.3389609708	-80.8342574685	12.5047035023 
0.4	-43.412661874	-15.8851041414	27.5275577326
0.6	-10.5844974162	36.746175263	47.3306726791
0.8	66.9629833775	106.758602463	39.7956190858
1.0	112.290611729	-163.723664217	-276.014275946



0.4	-112.082181676	-77.705067772	34.3771139041
0.8	-70.6957500608	6.45150256497	77.1472526258
1.2	130.876656121	-150.624604483	-281.501260604
1.6	-109.864733441	171.510312097	281.375045538
2.0	-28.0078754181	75.7486078956	103.756483314


LEFTS

0.2	-92.8267924057	-110.364232005	-17.5374395997
0.4	-116.917156476	-149.483621382	-32.566464906
0.6	93.9349496174	134.993511662	41.0585620445
0.8	134.435171018	-165.716440209	-300.151611227
1.0	113.879525466	126.045554038	12.1660285723 (bad)

0.2	-63.1181332899	-71.4797601549	-8.36162686496
0.4	-88.5568176838	-108.423905036	-19.867087352
0.6	-56.7564063045	-21.0029170752	35.7534892294
0.8	50.8239498783	77.6760462982	26.85209642
1.0	70.94954623	60.0161072557	-10.9334389743

0.2	-99.8588546468	-117.447220137	-17.5883654902
0.4	-41.6550936911	-74.1026347584	-32.4475410673
0.6	-52.8403480797	-111.603296623	-58.762948543
0.8	-89.3536002316	-120.89329646	-31.5396962285
1.0	-155.179042924	-163.831171394	-8.65212847074 

0.2	-66.7944484597	-86.5130338388	-19.7185853791
0.4	-16.4410371436	-73.9038079517	-57.4627708081
0.6	-63.2200670331	-101.847662299	-38.6275952661
0.8	-139.748211249	-164.405890832	-24.657679583 
1.0	168.101255399	-104.394837916	-272.496093315 (~95)

0.2	-89.0802970422	-105.92047678	-16.8401797383
0.4	-39.485330422	-40.6073153517	-1.12198492967
0.6	-100.233927655	-107.642094263	-7.40816660777
0.8	-101.511364275	-86.0896782235	15.4216860515
1.0	165.612375447	-160.754171173	-326.36654662
